Region,Segment,Sub-segment,Sub-segment 1,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Global,By Technology,Single-Phase Micro Inverters,Single-Phase Micro Inverters,11237341.0,11055946.0,11973118.0,13004017.0,14200805.0,15530900.0,17025856.0,18704649.0,20581681.0,22673871.0,25003756.0,27635441.0,30640546.0
Global,By Technology,Three-Phase Micro Inverters,Three-Phase Micro Inverters,7158875.0,7153722.0,7867319.0,8675817.0,9618131.0,10677074.0,11878919.0,13242368.0,14783666.0,16521543.0,18479636.0,20713743.0,23288134.0
Global,By Power Rating,Less than 250 W,Less than 250 W,9520114.0,9421922.0,10264036.0,11213934.0,12318712.0,13552617.0,14945552.0,16517006.0,18282842.0,20261516.0,22476942.0,24991158.0,27874485.0
Global,By Power Rating,250 W - 500 W,250 W - 500 W,6276384.0,6244229.0,6837826.0,7509429.0,8291851.0,9169268.0,10163347.0,11289042.0,12559085.0,13988211.0,15595186.0,17425686.0,19532028.0
Global,By Power Rating,More than 500 W,More than 500 W,2599717.0,2543517.0,2738575.0,2956471.0,3208373.0,3486090.0,3795877.0,4140968.0,4523420.0,4945688.0,5411264.0,5932340.0,6522167.0
Global,By Provider,Direct Sales through OEM,Direct Sales through OEM,2963345.0,2898036.0,3119714.0,3368182.0,3656392.0,3975297.0,4332384.0,4731780.0,5176370.0,5669598.0,6216226.0,6831186.0,7530914.0
Global,By Provider,Distributors and Wholesalers,Distributors and Wholesalers,5558285.0,5500805.0,5992073.0,6545954.0,7189851.0,7908619.0,8719574.0,9633923.0,10660716.0,11810479.0,13096868.0,14555686.0,16227452.0
Global,By Provider,Retailers,Retailers,3541635.0,3483009.0,3770421.0,4093453.0,4468491.0,4885247.0,5353618.0,5879539.0,6467508.0,7122811.0,7852504.0,8676691.0,9617828.0
Global,By Provider,Solar Installers and Contractors,Solar Installers and Contractors,6332951.0,6327818.0,6958229.0,7672244.0,8504202.0,9438812.0,10499200.0,11701774.0,13060753.0,14592526.0,16317794.0,18285621.0,20552486.0
Global,By End User,Residential,Residential,9820473.0,9806702.0,10779484.0,11883303.0,13171856.0,14622122.0,16270762.0,18144250.0,20265918.0,22662745.0,25368743.0,28462456.0,32034670.0
Global,By End User,Commercial and Industrial,Commercial and Industrial,5899862.0,5804066.0,6284939.0,6825390.0,7452764.0,8149919.0,8933369.0,9813014.0,10796346.0,11892161.0,13112190.0,14489937.0,16062813.0
Global,By End User,Utility-scale,Utility-scale,2675881.0,2598900.0,2776014.0,2971140.0,3194316.0,3435934.0,3700645.0,3989752.0,4303083.0,4640507.0,5002460.0,5396791.0,5831196.0
North America,By Technology,Single-Phase Micro Inverters,Single-Phase Micro Inverters,3833367.0,3780163.0,4103155.0,4466655.0,4888888.0,5359004.0,5888229.0,6483528.0,7150338.0,7895018.0,8725936.0,9666073.0,10741245.0
North America,By Technology,Three-Phase Micro Inverters,Three-Phase Micro Inverters,2393752.0,2397370.0,2642415.0,2920510.0,3245008.0,3610411.0,4025902.0,4498177.0,5033154.0,5637653.0,6320238.0,7100573.0,8001415.0
North America,By Power Rating,Less than 250 W,Less than 250 W,3246404.0,3220705.0,3517043.0,3851792.0,4241432.0,4677457.0,5170528.0,5727794.0,6355207.0,7059673.0,7850064.0,8748673.0,9780904.0
North America,By Power Rating,250 W - 500 W,250 W - 500 W,2106079.0,2098995.0,2302614.0,2533283.0,2802238.0,3104334.0,3447100.0,3835846.0,4275162.0,4770356.0,5328156.0,5964552.0,6697931.0
North America,By Power Rating,More than 500 W,More than 500 W,874636.0,857833.0,925913.0,1002090.0,1090225.0,1187625.0,1296503.0,1418064.0,1553123.0,1702642.0,1867954.0,2053422.0,2263826.0
North America,By Provider,Direct Sales through OEM,Direct Sales through OEM,1019108.0,999104.0,1078170.0,1166892.0,1269832.0,1383941.0,1511905.0,1655263.0,1815126.0,1992815.0,2190123.0,2412450.0,2665774.0
North America,By Provider,Distributors and Wholesalers,Distributors and Wholesalers,1867253.0,1850832.0,2019296.0,2209438.0,2430629.0,2677896.0,2957242.0,3272637.0,3627346.0,4025156.0,4470956.0,4977240.0,5558205.0
North America,By Provider,Retailers,Retailers,1218484.0,1200972.0,1302954.0,1417713.0,1551016.0,1699403.0,1866418.0,2054249.0,2264600.0,2499463.0,2761469.0,3057865.0,3396789.0
North America,By Provider,Solar Installers and Contractors,Solar Installers and Contractors,2122274.0,2126626.0,2345151.0,2593123.0,2882418.0,3208175.0,3578566.0,3999556.0,4476421.0,5015236.0,5623625.0,6319091.0,7121892.0
North America,By End User,Residential,Residential,3296135.0,3299807.0,3636250.0,4018653.0,4465549.0,4969583.0,5543653.0,6197302.0,6939085.0,7778886.0,8729100.0,9817594.0,11076730.0
North America,By End User,Commercial and Industrial,Commercial and Industrial,2013522.0,1986005.0,2156122.0,2347552.0,2569877.0,2817393.0,3095999.0,3409353.0,3760306.0,4152189.0,4589390.0,5083974.0,5649493.0
North America,By End User,Utility-scale,Utility-scale,917462.0,891722.0,953199.0,1020960.0,1098470.0,1182439.0,1274479.0,1375050.0,1484102.0,1601595.0,1727684.0,1865078.0,2016438.0
Global,By Region,North America,U.S.,5427557.0,5397260.0,5907695.0,6485123.0,7157808.0,7912007.0,8766338.0,9733620.0,10824740.0,12052309.0,13432408.0,15004277.0,16812843.0
Global,By Region,North America,Canada,799562.0,780273.0,837876.0,902042.0,976088.0,1057409.0,1147793.0,1248085.0,1358752.0,1480362.0,1613766.0,1762370.0,1929818.0
U.S.,By Technology,Single-Phase Micro Inverters,Single-Phase Micro Inverters,3368342.0,3329443.0,3622452.0,3952657.0,4336480.0,4764643.0,5247450.0,5791497.0,6402068.0,7085320.0,7849274.0,8715194.0,9707101.0
U.S.,By Technology,Three-Phase Micro Inverters,Three-Phase Micro Inverters,2059215.0,2067818.0,2285243.0,2532466.0,2821328.0,3147364.0,3518888.0,3942123.0,4422671.0,4966989.0,5583134.0,6289083.0,7105742.0
U.S.,By Power Rating,Less than 250 W,Less than 250 W,2851515.0,2835882.0,3104389.0,3408158.0,3762054.0,4158867.0,4608399.0,5117404.0,5691624.0,6337710.0,7064142.0,7891581.0,8843691.0
U.S.,By Power Rating,250 W - 500 W,250 W - 500 W,1818651.0,1816818.0,1997788.0,2203143.0,2442855.0,2712673.0,3019411.0,3367996.0,3762771.0,4208756.0,4712275.0,5287921.0,5952566.0
U.S.,By Power Rating,More than 500 W,More than 500 W,757391.0,744560.0,805518.0,873821.0,952899.0,1040466.0,1138528.0,1248220.0,1370345.0,1505842.0,1655991.0,1824774.0,2016586.0
U.S.,By Provider,Direct Sales through OEM,Direct Sales through OEM,902997.0,887720.0,960597.0,1042467.0,1137482.0,1243002.0,1361520.0,1494517.0,1643102.0,1808581.0,1992701.0,2200513.0,2437646.0
U.S.,By Provider,Distributors and Wholesalers,Distributors and Wholesalers,1614402.0,1603464.0,1753002.0,1922034.0,2118856.0,2339304.0,2588790.0,2870989.0,3188989.0,3546373.0,3947722.0,4404395.0,4929364.0
U.S.,By Provider,Retailers,Retailers,1080108.0,1067313.0,1160891.0,1266331.0,1388878.0,1525549.0,1679627.0,1853209.0,2047966.0,2265848.0,2509399.0,2785392.0,3101470.0
U.S.,By Provider,Solar Installers and Contractors,Solar Installers and Contractors,1830049.0,1838763.0,2033204.0,2254291.0,2512591.0,2804152.0,3136401.0,3514906.0,3944683.0,4431507.0,4982586.0,5613977.0,6344363.0
U.S.,By End User,Residential,Residential,2847050.0,2858620.0,3159319.0,3501756.0,3902475.0,4355511.0,4872625.0,5462753.0,6134045.0,6895918.0,7760114.0,8752289.0,9902391.0
U.S.,By End User,Commercial and Industrial,Commercial and Industrial,1770099.0,1748953.0,1902105.0,2074656.0,2275200.0,2498836.0,2750939.0,3034930.0,3353539.0,3709947.0,4108307.0,4559693.0,5076604.0
U.S.,By End User,Utility-scale,Utility-scale,810408.0,789688.0,846272.0,908710.0,980133.0,1057660.0,1142774.0,1235938.0,1337156.0,1446444.0,1563987.0,1692294.0,1833847.0
Canada,By Technology,Single-Phase Micro Inverters,Single-Phase Micro Inverters,465025.0,450721.0,480704.0,513998.0,552408.0,594362.0,640779.0,692031.0,748270.0,809697.0,876662.0,950879.0,1034144.0
Canada,By Technology,Three-Phase Micro Inverters,Three-Phase Micro Inverters,334537.0,329552.0,357172.0,388044.0,423680.0,463047.0,507014.0,556054.0,610482.0,670665.0,737104.0,811491.0,895673.0
Canada,By Power Rating,Less than 250 W,Less than 250 W,394889.0,384823.0,412654.0,443634.0,479378.0,518589.0,562129.0,610391.0,663584.0,721963.0,785921.0,857092.0,937212.0
Canada,By Power Rating,250 W - 500 W,250 W - 500 W,287428.0,282177.0,304826.0,330140.0,359383.0,391660.0,427689.0,467850.0,512390.0,561599.0,615882.0,676631.0,745365.0
Canada,By Power Rating,More than 500 W,More than 500 W,117245.0,113273.0,120396.0,128269.0,137327.0,147159.0,157975.0,169844.0,182778.0,196799.0,211963.0,228647.0,247240.0
Canada,By Provider,Direct Sales through OEM,Direct Sales through OEM,116111.0,111384.0,117573.0,124425.0,132350.0,140939.0,150385.0,160746.0,172024.0,184234.0,197423.0,211937.0,228128.0
Canada,By Provider,Distributors and Wholesalers,Distributors and Wholesalers,252851.0,247368.0,266293.0,287403.0,311773.0,338592.0,368453.0,401649.0,438356.0,478783.0,523234.0,572845.0,628841.0
Canada,By Provider,Retailers,Retailers,138375.0,133659.0,142063.0,151382.0,162138.0,173854.0,186790.0,201040.0,216634.0,233615.0,252070.0,272474.0,295319.0
