Region,Segment,Sub-segment,Sub-segment 1,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
Global,By Technology,Single-Phase Micro Inverters,Single-Phase Micro Inverters,4825.6,5548.2,6380.5,7337.6,8438.2,9703.9,11159.5,12833.4,14758.4,16972.2,19518.0,22445.7,25812.6
Global,By Technology,Three-Phase Micro Inverters,Three-Phase Micro Inverters,2586.4,2974.4,3420.5,3933.6,4523.6,5202.1,5982.4,6879.8,7911.7,9098.5,10463.3,12032.8,13837.7
Global,By Power Rating,Less than 250 W,Less than 250 W,2223.6,2557.1,2940.7,3381.8,3889.1,4472.5,5143.3,5914.8,6802.1,7822.4,8995.7,10345.1,11896.8
Global,By Power Rating,250 W - 500 W,250 W - 500 W,3334.8,3835.0,4410.3,5071.8,5832.6,6707.5,7713.6,8870.7,10201.3,11731.5,13491.3,15514.9,17842.2
Global,By Power Rating,More than 500 W,More than 500 W,1853.6,2130.6,2450.2,2817.7,3240.4,3726.5,4285.5,4928.3,5667.6,6517.7,7495.4,8619.7,9912.7
Global,By Provider,Direct Sales through OEM,Direct Sales through OEM,2223.6,2557.1,2940.7,3381.8,3889.1,4472.5,5143.3,5914.8,6802.1,7822.4,8995.7,10345.1,11896.8
Global,By Provider,Distributors and Wholesalers,Distributors and Wholesalers,2668.3,3068.6,3528.9,4058.2,4666.9,5367.0,6172.0,7097.8,8162.5,9386.9,10794.9,12414.2,14276.3
Global,By Provider,Retailers,Retailers,1111.8,1278.6,1470.3,1690.9,1944.5,2236.2,2571.6,2957.4,3401.0,3911.2,4497.8,5172.5,5948.4
Global,By Provider,Solar Installers and Contractors,Solar Installers and Contractors,1408.3,1619.5,1862.5,2142.8,2464.3,2833.0,3258.0,3746.7,4308.7,4955.0,5698.3,6553.0,7535.9
Global,By End User,Residential,Residential,4077.2,4688.8,5392.1,6201.0,7131.1,8200.8,9430.9,10845.5,12472.4,14343.2,16494.7,18969.0,21814.4
Global,By End User,Commercial and Industrial,Commercial and Industrial,2590.4,2979.0,3425.8,3939.7,4530.7,5210.3,5991.8,6890.6,7924.2,9112.8,10479.7,12051.7,13859.5
Global,By End User,Utility-scale,Utility-scale,740.8,852.0,979.8,1126.7,1295.7,1490.1,1713.6,1970.7,2266.3,2605.2,2996.0,3445.4,3962.2
Global,By Region,North America,U.S.,2082.4,2394.8,2754.0,3167.1,3642.2,4188.5,4816.8,5539.3,6370.2,7325.7,8424.6,9688.3,11141.5
Global,By Region,North America,Canada,567.3,652.4,750.3,863.0,992.4,1141.3,1312.5,1509.4,1735.8,1996.2,2295.6,2639.9,3035.9
Global,By Region,Europe,Germany,492.1,565.9,650.8,748.5,860.7,989.8,1138.3,1309.0,1505.4,1731.2,1990.9,2289.5,2633.0
Global,By Region,Europe,U.K.,416.8,479.3,551.2,633.9,729.0,838.4,964.1,1108.7,1275.0,1466.2,1686.2,1939.1,2230.0
Global,By Region,Europe,Italy,304.2,349.8,402.3,462.6,532.0,611.8,703.6,809.1,930.5,1070.0,1230.5,1415.1,1627.4
Global,By Region,Europe,France,265.9,305.8,351.7,404.4,465.1,534.9,615.1,707.4,813.5,935.5,1075.9,1237.3,1422.9
Global,By Region,Europe,Spain,190.7,219.3,252.2,290.1,333.6,383.6,441.1,507.3,583.4,670.9,771.6,887.3,1020.4
Global,By Region,Europe,Russia,113.0,130.0,149.5,171.9,197.7,227.4,261.5,300.7,345.8,397.7,457.4,525.9,604.8
Global,By Region,Europe,Rest of Europe,119.1,137.0,157.5,181.2,208.4,239.6,275.6,317.0,364.5,419.2,482.1,554.4,637.6
Global,By Region,Asia Pacific,China,795.4,914.7,1051.9,1209.7,1391.2,1599.8,1839.8,2115.8,2433.2,2798.2,3217.9,3700.6,4255.7
Global,By Region,Asia Pacific,Japan,415.4,477.7,549.4,631.8,726.6,835.6,961.0,1105.1,1270.9,1461.5,1680.7,1932.8,2222.7
Global,By Region,Asia Pacific,India,342.2,393.5,452.5,520.4,598.5,688.3,791.5,910.2,1046.7,1203.7,1384.3,1592.0,1830.8
